incident_id,downtime_start,downtime_end,duration_minutes,source,title,impact
18301056,2023-08-29T01:59:00Z,2023-08-29T02:36:00Z,37,updates,"Incident with Actions, Pull Requests and Webhooks",minor
18308335,2023-08-29T15:13:00Z,2023-08-29T15:35:00Z,22,updates,Incident with Codespaces,minor
18308926,2023-08-29T16:05:00Z,2023-08-29T16:16:00Z,11,updates,We are investigating reports of degraded performance.,minor
18309893,2023-08-29T17:29:00Z,2023-08-29T21:58:00Z,269,updates,Incident with Webhooks,minor
18323061,2023-08-30T16:45:00Z,2023-08-30T20:53:00Z,248,updates,Incident with Webhooks,minor
18325445,2023-08-30T20:56:00Z,2023-08-30T21:04:00Z,8,updates,We are investigating reports of degraded performance.,minor
18349696,2023-09-01T14:35:00Z,2023-09-01T15:06:00Z,31,updates,Incident with Codespaces,minor
18383707,2023-09-04T14:21:00Z,2023-09-04T14:48:00Z,27,updates,Incident with Actions,minor
18387515,2023-09-04T21:28:00Z,2023-09-04T21:56:00Z,28,updates,Incident with Actions,minor
18390137,2023-09-05T03:18:00Z,2023-09-05T03:27:00Z,9,updates,Incident with Actions,minor
18390565,2023-09-05T04:17:00Z,2023-09-05T05:10:00Z,53,updates,"Incident with API Requests, Pull Requests and Actions",minor
18391769,2023-09-05T06:59:00Z,2023-09-05T14:19:00Z,440,updates,Incident with Git Operations and Actions,minor
18397360,2023-09-05T16:30:00Z,2023-09-05T17:01:00Z,31,updates,"Incident with Actions, Pages, Pull Requests, Codespaces, API Requests, Issues, Webhooks and Packages",major
18405639,2023-09-06T08:21:00Z,2023-09-06T11:41:00Z,200,updates,Incident with Git Operations,minor
18413002,2023-09-06T20:32:00Z,2023-09-06T21:58:00Z,86,updates,Incident with Webhooks,minor
18419904,2023-09-07T10:02:00Z,2023-09-07T10:38:00Z,36,updates,Incident with Git Operations,minor
18486200,2023-09-13T03:45:00Z,2023-09-13T07:16:00Z,211,updates,Incident with Codespaces,minor
18499199,2023-09-14T09:35:00Z,2023-09-14T10:21:00Z,46,updates,Incident with Codespaces,minor
18539261,2023-09-18T21:16:00Z,2023-09-18T21:26:00Z,10,updates,Incident with Codespaces,minor
18539350,2023-09-18T21:28:00Z,2023-09-18T21:33:00Z,5,updates,We are investigating reports of degraded performance.,minor
18545635,2023-09-19T13:21:00Z,2023-09-19T14:04:00Z,43,updates,Incident with Pull Requests,minor
18549324,2023-09-19T20:57:00Z,2023-09-20T04:28:00Z,451,updates,"Incident with Issues, API Requests and Git Operations",major
18553979,2023-09-20T09:20:00Z,2023-09-20T09:33:00Z,13,updates,Incident with Actions,minor
18559428,2023-09-20T20:21:00Z,2023-09-20T21:05:00Z,44,updates,Incident with Codespaces,minor
18578590,2023-09-22T17:10:00Z,2023-09-22T17:39:00Z,29,updates,Incident with Pages,minor
18616715,2023-09-27T00:23:00Z,2023-09-27T00:58:00Z,35,updates,Incident with Actions,minor
